fullStreetName,geometry
Spring Street,"LINESTRING (-89.40735349412348 43.06963232635319, -89.40900491758576 43.06965627912321)"
Spring Street,"LINESTRING (-89.40101756201277 43.06931875339714, -89.4024637539306 43.06933910703084)"
Spring Street,"LINESTRING (-89.40324749243588 43.06934538376712, -89.40406802864749 43.069358061613876)"
Spring Street,"LINESTRING (-89.4008471895148 43.069316799081264, -89.40101756201277 43.06931875339714)"
Spring Street,"LINESTRING (-89.4024637539306 43.06933910703084, -89.40324749243588 43.06934538376712)"
Spring Street,"LINESTRING (-89.40407052485173 43.06957767010826, -89.40570979088805 43.06959814819601, -89.40571189148805 43.06959823580908)"
Spring Street,"LINESTRING (-89.40571189148805 43.06959823580908, -89.40734998649333 43.06963249691704, -89.40735349412348 43.06963232635319)"
Spring Street,"LINESTRING (-89.01673722612117 43.003595170282225, -89.01693177218176 43.00305648811583)"
Spring Street,"LINESTRING (-89.017029163705 43.002712563067966, -89.01703975930617 43.00262857317752, -89.01704968433475 43.00254453860248, -89.01705893754338 43.002460462939155, -89.01706751891713 43.00237634888799, -89.01707542843494 43.00229220004953, -89.01708266486142 43.002208018219775, -89.01708922940784 43.00212380610352, -89.01709511959467 43.0020395681927, -89.01710033787153 43.0019553053962, -89.01710488298504 43.00187102221031, -89.01710875492627 43.00178672043529, -89.01711195244786 43.0017024036673, -89.01711447676124 43.001618074611, -89.01714619929632 43.000671355700355)"
Spring Street,"LINESTRING (-89.01693177218176 43.00305648811583, -89.01694530883711 43.00301872011314, -89.01695817301369 43.00298082550755, -89.01697035976585 43.00294281058268, -89.01698186782096 43.00290468253516, -89.01699269469195 43.00286644675712, -89.01700284033267 43.00282811044962, -89.01701230102371 43.00278967990047, -89.01702107549254 43.00275116230633, -89.017029163705 43.002712563067966)"
Spring Street,"LINESTRING (-89.65641624318707 43.11438975897744, -89.6563942295089 43.115278420745774)"
Spring Street,"LINESTRING (-89.6564137967856 43.113943719704906, -89.65641624318707 43.11438975897744)"
Spring Street,"LINESTRING (-89.6563942295089 43.115278420745774, -89.65637083895052 43.116169944788865)"
Spring Street,"LINESTRING (-89.74922470339288 43.13791340615694, -89.75097831088347 43.1379180744529, -89.75098989135455 43.137917839599965, -89.75100147294683 43.137918043990815, -89.7510130261483 43.13791868500986, -89.75102451776468 43.13791976095218, -89.75103591829357 43.13792127100234, -89.75104719697478 43.137923208947974, -89.75105832428666 43.13792557037337, -89.75106927070273 43.13792834996271, -89.75108000667737 43.13793153879991)"
Spring Street,"LINESTRING (-89.7479895196815 43.13820782151565, -89.7492159606444 43.13820621248976)"
Spring Street,"LINESTRING (-89.74675792596886 43.13820703144595, -89.7479895196815 43.13820782151565)"
Spring Street,"LINESTRING (-89.38288721822914 42.927032516433606, -89.38276789514777 42.927440784578636, -89.38268679633697 42.9277182635483, -89.38268534998917 42.92772551533841, -89.38268462506481 42.927732825886295, -89.38268462526415 42.927740155587855, -89.38268535061233 42.92774746573783, -89.38268679623425 42.92775471852929, -89.38268895480617 42.927761874354346, -89.38269181655353 42.92776889540438, -89.382695364351 42.92777574566843, -89.38269958107344 42.92778238913569, -89.38270444224685 42.927788788892485)"
Spring Street,"LINESTRING (-89.3834017686066 42.92533627721475, -89.38321800104315 42.92593533480748)"
Spring Street,"LINESTRING (-89.38321800104315 42.92593533480748, -89.38311036952388 42.92629983527265, -89.3829202795159 42.926923964874796, -89.38288721822914 42.927032516433606)"
Spring Street,"LINESTRING (-89.26331447834114 43.1716397915691, -89.26332524768267 43.171503256049164, -89.2633238293683 43.171480124538725, -89.26332169526071 43.17145702263894, -89.26331884656025 43.17143396205251, -89.26331528323742 43.17141095448055, -89.26331101018172 43.17138801163086, -89.26330602613154 43.171365146102836, -89.26330033720855 43.17134236870593, -89.26329394338083 43.17131969204121, -89.26328684954014 43.17129712691642, -89.2632790581165 43.171274685035854, -89.2632705752267 43.17125237900919, -89.2632614033053 43.171230218740504, -89.26325154724164 43.17120821593764, -89.2632410119228 43.17118638320834, -89.26322980470223 43.17116473046364, -89.2631877623345 43.171065839845596, -89.26318032361557 43.171039714388684, -89.26317361810902 43.171013481937955, -89.26316764824072 43.17098715509814, -89.26316241644363 43.17096074377361, -89.26315792391624 43.17093425966743, -89.2631541730868 43.17090771448408, -89.26315116638816 43.17088111812801, -89.26314890378909 43.17085448230032, -89.26314738772005 43.17082781780558, -89.26314661814988 43.17080113634476, -89.26314659504716 43.17077444961912, -89.2631473183854 43.17074776752956, -89.26314878813322 43.17072110177701, -89.26315100425943 43.170694464062784, -89.2631539642778 43.17066786428418, -89.26315766815492 43.170641315042346, -89.26316211463198 43.17061482713656, -89.26316730122065 43.17058841136429, -89.26317322543251 43.17056207852307, -89.26319076096196 43.17048345320414, -89.26320614403389 43.17041447203377, -89.2632092219545 43.17039076619727, -89.26321163961069 43.17036701984082, -89.26321339698 43.17034324196536, -89.26321449403748 43.17031944247175, -89.26321492952627 43.17029563215942, -89.2632147034238 43.17027182002916, -89.2632138157052 43.17024801598192, -89.26321226757538 43.17022422992029, -89.26321005777734 43.170200472643565, -89.26320718997778 43.17017675315768, -89.26320366292435 43.17015308046169, -89.26319947904936 43.17012946535997, -89.26319464078736 43.17010591775683, -89.26318914934548 43.17008244665468, -89.26318300592847 43.17005906195613, -89.26317621542806 43.17003577446885, -89.2631131917766 43.169872555125544, -89.26310767649642 43.169856406198235, -89.2631025979675 43.16984018136945, -89.26309700983836 43.16982035188196, -89.26309207493551 43.16980042969187, -89.26308779322576 43.16978042740035, -89.26308416837192 43.16976035491358, -89.2630812028001 43.169740224836154, -89.2630788977091 43.169720048871014, -89.26307725553204 43.1696998369225, -89.26307627500125 43.16967960339027, -89.26308216011056 43.16916152466298, -89.26308798654222 43.16864849349164)"
